t	 v	 nai	 nass	 ki	 kss	 cai	 cass	 cansr	 cajsr	 Jrel	 CaMKt	 Jup	 Jtr	 Jdiff	 JdiffNa	 JdiffK	 Jleak	 INa	 INaL	 Ito	 ICaL	 ICaNa	 ICaK	 IKr	 IKs	 IK1	 INaCa_i	 INaCa_ss	 INaCa	 INaK	 IKb	 INab	 IpCa	 ICab	 Ist	 dt	 APD	
271.14670226047746	 -77.03443342692816	 7.218828380502622	 7.219196658436269	 144.4250914844423	 144.42519519072678	 0.00020407341619095952	 0.00022545523404095223	 1.6240408496682485	 0.8861910330399736	 4.646114384911425e-7	 0.01671506721433674	 0.0006057523101717988	 0.007378596690867326	 0.00010692148893347086	 0.00018414384742726497	 0.00005185684437947202	 0.0004263107701104566	 -0.002210009397441937	 -0.0002561298080245564	 0.0003819015715806347	 -0.0000021603802347802903	 -1.2159720550717474e-7	 6.668639232619067e-10	 0.21163555558597924	 0.00019223316156430665	 0.8332872940857013	 -0.10420089245937654	 -0.03016546321376773	 -0.13436635567314425	 0.1010389524003579	 0.0002182217104475911	 -0.015427860054605457	 0.00014492485648635915	 -0.0171313777844511	 0	 0.005	 272.0986488870112	
271.19670226052403	 -77.08327283874976	 7.2188287355669605	 7.219196915900662	 144.42508896768305	 144.42519259891017	 0.00020404439211777858	 0.00022540143201433898	 1.6240390551629582	 0.8862877618116335	 4.6072594606749776e-7	 0.016714870473299233	 0.0006056206195028244	 0.00737761145571969	 0.00010679757970418523	 0.00018409504635341633	 0.00005181940801435303	 0.00042631029911321656	 -0.0022055032129583906	 -0.000253822187748203	 0.000378959106698651	 -0.000002137012595940591	 -1.2027095150772781e-7	 6.559517383329481e-10	 0.21063659589790914	 0.0001682493268007814	 0.8330290336555663	 -0.10418718464656094	 -0.030158007049595134	 -0.13434519169615608	 0.10100942234891107	 0.00021665688036712812	 -0.015436054064389453	 0.00014491021831946637	 -0.01714204483405978	 0	 0.005	 272.0986488870112	
271.2467022605706	 -77.13204643444642	 7.218829090709441	 7.219197173465083	 144.42508645467288	 144.42519000899088	 0.00020401537465908638	 0.00022534767549151462	 1.6240372583575983	 0.8863844859027748	 4.568718585970424e-7	 0.01671467363743165	 0.0006054889611788927	 0.007376626244372334	 0.00010667386495316218	 0.00018404625623480442	 0.00005178104626679669	 0.00042630982751216853	 -0.0022009746201698933	 -0.0002515390216461328	 0.00037603468753903034	 -0.0000021139199279908724	 -1.189604464686169e-7	 6.452166637962542e-10	 0.20963891886244026	 0.0001443629144292926	 0.8327507109692838	 -0.10417345598842516	 -0.03015054987429539	 -0.13432400586272056	 0.10097993874519174	 0.0002151008770928798	 -0.015444238280561146	 0.00014489558228186284	 -0.0171526980026646	 0	 0.005	 272.0986488870112	
271.29670226061716	 -77.18075328470701	 7.218829445929432	 7.219197431128662	 144.42508394546826	 144.42518742101518	 0.00020398636381594587	 0.00022529396441008545	 1.624035459253682	 0.8864812053107026	 4.5304894387924055e-7	 0.016714476706822967	 0.0006053573351936886	 0.007375641056867344	 0.00010655034436305721	 0.00018399747695152513	 0.000051741754049317023	 0.00042630935530770973	 -0.002196424064374649	 -0.0002492800674225582	 0.0003731282647722164	 -0.0000020910992041000323	 -1.176655148001349e-7	 6.346559785401681e-10	 0.20864254639878066	 0.00012057425911151173	 0.8324522659652864	 -0.10415970638480527	 -0.03014309164920139	 -0.13430279803400666	 0.10095050211895029	 0.00021355367860020145	 -0.015452412541100139	 0.0001448809483747608	 -0.017163337084144203	 0	 0.005	 272.0986488870112	
271.34670226066373	 -77.22939245843025	 7.218829801226299	 7.219197688890529	 144.42508144012564	 144.42518483502977	 0.00020395735958941445	 0.0002252402987077755	 1.6240336578527225	 0.8865779200327251	 4.492569712111915e-7	 0.016714279681562055	 0.000605225741540898	 0.007374655893246771	 0.00010642701761714207	 0.00018394870838633892	 0.000051701526459169145	 0.00042630888250023735	 -0.0021918519940046033	 -0.0002470450848630902	 0.00037023978866384513	 -0.000002068547426392552	 -1.1638598262582595e-7	 6.24266999310437e-10	 0.20764750045647462	 0.00009688369329369036	 0.8321336408167375	 -0.10414593573580154	 -0.03013563233576465	 -0.1342815680715662	 0.10092111300058942	 0.00021201526272856703	 -0.015460576683606673	 0.00014486631659937	 -0.017173961871964356	 0	 0.005	 272.0986488870112	
271.3967022607103	 -77.27796302283846	 7.218830156599395	 7.2191979467498015	 144.42507893870157	 144.4251822510816	 0.00020392836198054447	 0.00022518667832242627	 1.6240318541562322	 0.8866746300661542	 4.4549571137952943e-7	 0.016714082561737644	 0.0006050941802142119	 0.0073736707535526245	 0.00010630388439930108	 0.00018389995042111806	 0.00005166035869308416	 0.00042630840909014844	 -0.0021872588605224637	 -0.0002448338358211858	 0.00036736920907646055	 -0.000002046261625727918	 -1.151216777689771e-7	 6.140470802561402e-10	 0.20665380301268552	 0.00007329154714138568	 0.8317947799626169	 -0.10413214394179729	 -0.030128171895561398	 -0.1342603158373587	 0.100891771921097	 0.00021048560718110807	 -0.015468730545320937	 0.00014485168695689766	 -0.017184572159203007	 0	 0.005	 272.0986488870112	
271.44670226075686	 -77.32646404359266	 7.218830512048071	 7.219198204705596	 144.42507644125274	 144.4251796692178	 0.0002038993709903828	 0.00022513310319199656	 1.6240300481657228	 0.8867713354083058	 4.4176493665236404e-7	 0.016713885347438357	 0.0006049626512073239	 0.00737268563782687	 0.00010618094439403264	 0.0001838512029390671	 0.00005161824596200404	 0.0004263079350778399	 -0.0021826451183175666	 -0.00024264608420463998	 0.0003645164754713096	 -0.000002024238861481382	 -1.1387242973919694e-7	 6.039936124801252e-10	 0.20566147606945456	 0.00004979814847417988	 0.8314356301383978	 -0.10411833090347741	 -0.030120710290298585	 -0.134239041193776	 0.10086247941197995	 0.0002089646895242022	 -0.015476873963142706	 0.00014483705944854852	 -0.01719516773857555	 0	 0.005	 272.0986488870112	
271.49670226080343	 -77.37489458490888	 7.218830867571672	 7.219198462757021	 144.42507394783593	 144.42517708948574	 0.00020387038661997094	 0.00022507957325456238	 1.6240282398827066	 0.8868680360564979	 4.380644207712613e-7	 0.016713688038752696	 0.0006048311545139303	 0.007371700546111448	 0.0001060581972864481	 0.000183802465820726	 0.00005157518354792501	 0.0004263074604637086	 -0.002178011224600588	 -0.00024048159596212193	 0.0003616815369101954	 -0.000002002476221326032	 -1.1263806971907858e-7	 5.941040235938993e-10	 0.20467054165092505	 0.00002640382270020964	 0.831056140406259	 -0.104104496521845	 -0.030113247481819292	 -0.1342177440036643	 0.10083323600519246	 0.00020745248718709	 -0.015485006773651128	 0.00014482243407552473	 -0.017205748402460453	 0	 0.005	 272.0986488870112	
271.54670226085	 -77.42325370967616	 7.218831223169538	 7.2191987209031785	 144.42507145850797	 144.425174511933	 0.00020384140887034534	 0.00022502608844831665	 1.6240264293086941	 0.8869647320080529	 4.343939389432661e-7	 0.01671349063576903	 0.0006046996901277323	 0.007370715478448249	 0.00010593564276226871	 0.00018375373894885527	 0.00005153116684653014	 0.0004263069852481511	 -0.002173357639297197	 -0.00023834013906975492	 0.00035886434205739995	 -0.000001980970821016178	 -1.1141843055094827e-7	 5.84375777276914e-10	 0.203681021800536	 0.000003108892750583318	 0.8306562621848464	 -0.10409064069824143	 -0.030105783432109224	 -0.13419642413035065	 0.10080404223306931	 0.00020594897746152707	 -0.015493128813124855	 0.00014480781083902602	 -0.017216313942925193	 0	 0.005	 272.0986488870112	
271.59670226089656	 -77.47154047957561	 7.218831578841	 7.219198979143165	 144.42506897332575	 144.42517193660745	 0.00020381243774253687	 0.000224972648711569	 1.624024616445196	 0.8870614232602962	 4.307532678329633e-7	 0.016713293138575613	 0.000604568258042432	 0.007369730434879124	 0.00010581328050782718	 0.00018370502220443896	 0.000051486191324556785	 0.000426306509431564	 -0.0021686848249406502	 -0.00023622148351774288	 0.0003560648391816743	 -0.0000019597198041720344	 -1.1021334672369713e-7	 5.748063728402458e-10	 0.20269293857818754	 -0.000020086320986298817	 0.8302359492785393	 -0.10407676333436283	 -0.030098318103302164	 -0.134175081437665	 0.10077489862825405	 0.00020445413750147425	 -0.015501239917562335	 0.00014479318974024957	 -0.01722686415175243	 0	 0.005	 272.0986488870112	
