t      	v      	nai    	nass   	ki     	kss    	cai    	cass   	cansr  	cajsr  	Jrel   	CaMKt  	Jup    	Jtr    	Jdiff  	JdiffNa	JdiffK 	Jleak  	INa    	INaL   	Ito    	ICaL   	ICaNa  	ICaK   	IKr    	IKs    	IK1    	INaCa_i	INaCa_ss	INaCa  	INaK   	IKb    	INab   	IpCa   	ICab   	Ist    	dt     	APD    
1.038017e+00      	-37.9227	7.2147 	7.21416	144.436	144.434	8.46644e-05	8.36002e-05	1.59026	1.54482	8.17893e-05	0.0119966	2.68112e-05	0.000454467	-5.32418e-06	-0.000260702	-0.000817092	0.000417444	-56.5846	-0.145011	0.0052873	-0.00148716	-9.73079e-05	5.86671e-06	0.230997	1.76251e-05	0.0774814	-0.0199964	-0.0048707	-0.0248671	0.126775	0.00796157	-0.00940577	7.24044e-05	-0.00898431	0      	0.005  	272.099
1.088017e+00      	-34.6323	7.2149 	7.21418	144.436	144.434	8.4663e-05	8.36059e-05	1.59026	1.54482	0.000106731	0.0119963	2.68042e-05	0.000454387	-5.28979e-06	-0.00035077	-0.000796208	0.000417444	-74.877	-0.16758	0.00610517	-0.00220483	-0.000147575	1.02552e-05	0.243335	2.0281e-05	0.0589459	-0.0198096	-0.0048265	-0.0246361	0.129174	0.00998832	-0.00896316	7.24034e-05	-0.00836957	0      	0.005  	272.099
1.138017e+00      	-30.1906	7.21517	7.2142 	144.436	144.434	8.46617e-05	8.36143e-05	1.59026	1.54483	0.000147237	0.011996	2.67976e-05	0.000454313	-5.24297e-06	-0.000472175	-0.000775867	0.000417444	-102.375	-0.191878	0.00724203	-0.00381351	-0.000264077	2.21302e-05	0.257945	2.41144e-05	0.040551	-0.0194681	-0.00474493	-0.024213	0.132471	0.013436	-0.00838297	7.24024e-05	-0.00756614	0      	0.005  	272.099
1.188017e+00      	-24.0133	7.21555	7.21423	144.436	144.434	8.46604e-05	8.36277e-05	1.59026	1.54484	0.00022919	0.0119956	2.67917e-05	0.00045425	-5.1726e-06	-0.000641222	-0.000756051	0.000417443	-143.604	-0.214353	0.00895738	-0.00857449	-0.000626936	6.77412e-05	0.273882	3.0073e-05	0.0238984	-0.0187831	-0.00458002	-0.0233631	0.13718	0.0199505	-0.0076084	7.24014e-05	-0.00650369	0      	0.005  	272.099
1.238017e+00      	-15.3589	7.21608	7.21427	144.436	144.434	8.4659e-05	8.36552e-05	1.59026	1.54484	0.000471154	0.0119953	2.67875e-05	0.000454215	-5.04017e-06	-0.000879143	-0.000736744	0.000417443	-199.115	-0.22949	0.0118344	-0.0298813	-0.0023947	0.000366802	0.28667	4.00321e-05	0.0112083	-0.0172793	-0.00421601	-0.0214953	0.144062	0.0336317	-0.00658398	7.24005e-05	-0.00513476	0      	0.005  	272.099
1.288017e+00      	-3.92641	7.21678	7.21432	144.436	144.434	8.46578e-05	8.3747e-05	1.59026	1.54483	0.00166327	0.011995	2.67911e-05	0.000454288	-4.6367e-06	-0.00119604	-0.000717979	0.000417443	-249.032	-0.231792	0.0172975	-0.165527	-0.0154562	0.00374535	0.285343	5.66665e-05	0.00399243	-0.0138866	-0.00339326	-0.0172798	0.153782	0.0632319	-0.00533492	7.23995e-05	-0.00357092	0      	0.005  	272.099
1.338017e+00      	8.67804	7.21756	7.2144 	144.436	144.434	8.46566e-05	8.41259e-05	1.59026	1.54476	0.00651923	0.0119947	2.68309e-05	0.000454893	-2.95537e-06	-0.0015474	-0.000700169	0.000417443	-241.884	-0.220397	0.0284751	-0.49524	-0.0573114	0.0233152	0.260876	8.05824e-05	0.0012159	-0.00729329	-0.00179389	-0.00908718	0.16555	0.115896	-0.00409102	7.23986e-05	-0.00220953	0      	0.005  	272.099
1.388017e+00      	18.7214	7.21817	7.21449	144.436	144.434	8.46557e-05	8.5071e-05	1.59026	1.54454	0.0149207	0.0119944	2.69476e-05	0.000456855	1.45595e-06	-0.0018208	-0.000684242	0.000417443	-159.596	-0.203724	0.0485427	-0.66952	-0.0951862	0.0599102	0.227528	0.000109085	0.000448618	0.0012088	0.000295718	0.00150452	0.175957	0.173401	-0.00319629	7.23979e-05	-0.00140521	0      	0.005  	272.099
1.438017e+00      	24.2471	7.21851	7.2146 	144.436	144.434	8.4655e-05	8.67045e-05	1.59026	1.54414	0.0249387	0.0119941	2.71595e-05	0.000460688	9.2626e-06	-0.0019486	-0.000670735	0.000417443	-75.2603	-0.191954	0.0755569	-0.775263	-0.124857	0.101399	0.205769	0.000139316	0.000253272	0.00756763	0.00192072	0.00948835	0.182165	0.209447	-0.00273992	7.23974e-05	-0.0010634	0      	0.005  	272.099
1.488017e+00      	26.6968	7.21865	7.21471	144.436	144.434	8.46545e-05	8.91277e-05	1.59026	1.54351	0.0364645	0.0119938	2.74796e-05	0.000466692	2.09595e-05	-0.00197198	-0.000659625	0.000417442	-32.6389	-0.186051	0.105006	-0.90227	-0.153794	0.140312	0.195925	0.000169874	0.000195901	0.0108123	0.00283452	0.0136468	0.185014	0.225879	-0.00254758	7.23971e-05	-0.000934256	0      	0.005  	272.099
